名言	出处
君子赠人以言，庶人赠人以财。	荀况
使意志获得自由的唯一途径，就是让意志摆脱任性。	黑尔
如烟往事俱忘却，心底无私天地宽。	陶铸
执着追求并从中得到最大快乐的人，才是成功者。	梭罗
有百折不挠的信念的所支持的人的意志，比那些似乎是无敌的物质力量有更强大的威力。	爱因斯坦
生活在我们这个世界里，不读书就完全不可能了解人。	高尔基
一个人即使已登上顶峰，也仍要自强不息。	罗素·贝克
对具有高度自觉与深邃透彻的心灵的人来说，痛苦与烦恼是他必备的气质。	陀思妥耶夫斯基
先相信你自己，然后别人才会相信你。	屠格涅夫
上天赋予的生命，就是要为人类的繁荣和平和幸福而奉献。	松下幸之助
猝然死去本无甚苦痛，长期累死倒真难以忍受。	佚名
人需要真理，就象瞎子需要明眼的引路人一样。	高尔基
我这个人走得很慢，但是我从不后退。	亚伯拉罕·林肯
我是炎黄子孙，理所当然地要把学到的知识全部奉献给我亲爱的祖国。	李四光
你若要喜爱你自己的价值，你就得给世界创造价值。	歌德
你若要喜爱你自己的价值，你就得给世界创造价值。	歌德
意志是一个强壮的盲人，倚靠在明眼的跛子肩上。	叔本华
永远不要因承认错误而感到羞耻，因为承认错误也可以解释作你今天更聪敏。	马罗
我死国生，我死犹荣，身虽死精神长生，成功成仁，实现大同。	赵博生
我怀着比对我自己的生命更大的尊敬、神圣和严肃，去爱国家的利益。	莎士比亚
预测未来最好的方法就是把它创造出来	尼葛洛庞帝
但愿每次回忆，对生活都不感到负疚	郭小川
我们若已接受最坏的，就再没有什么损失。	卡耐基
只要你具备了精神气质的美，只要你有这样的自信，你就会拥有风度的自然之美。 	金马
要在这个世界上获得成功，就必须坚持到底：至死都不能放手。	伏尔泰
有了坚定的意志，就等于给双脚添了一对翅膀。	乔·贝利
恢弘志士之气，不宜妄自菲薄。	诸葛亮
我重视祖国的利益，甚于自己的生命和我所珍爱的儿女。	莎士比亚
想不付出任何代价而得到幸福，那是神话。	徐特立
宿命论是那些缺乏意志力的弱者的借口。	罗曼·罗兰
只有永远躺在泥坑里的人，才不会再掉进坑里。	黑格尔
世间的活动，缺点虽多，但仍是美好的。	罗丹
今天应做的事没有做，明天再早也是耽误了。	裴斯泰洛齐
忍耐和坚持虽是痛苦的事情，但却能渐渐地为你带来好处。	奥维德
自古奇人伟士，不屈折于忧患，则不足以其学。	方孝孺
不要垂头丧气，即使失去一切，明天仍在你的手里。	王尔德
信仰，是人们所必须的。什麽也不信的人不会有幸福。	雨果
意志命运往往背道而驰，决心到最后会全部推倒。	莎士比亚
既然我已经踏上这条道路，那么，任何东西都不应妨碍我沿着这条路走下去。	康德
谁有历经千辛万苦的意志，谁就能达到任何目的。	米南德
业余生活要有意义，不要越轨。	华盛顿
希望是厄运的忠实的姐妹。	普希金
一知半解的人，多不谦虚；见多识广有本领的人，一定谦虚。	谢觉哉
时髦把低劣抬到了讨人喜欢的水平，继而把坏的和好的变得十分相像。	本特利
无论你怎样地表示愤怒，都不要做出任何无法挽回的事来。	培根
春蚕到死丝方尽，人至期颐亦不休。一息尚存须努力，留作青年好范畴。	吴玉章
伟大的事业需要始终不渝的精神。	伏尔泰
顽强的毅力可以征服世界上任何一座高峰。	狄更斯
要爱国，祖国须可爱。	伯克
人的一生可能燃烧也可能腐朽，我不能腐朽，我愿意燃烧起来！	奥斯特洛夫斯基
书和人一样，也是有生命的一种现象，它也是活的、会说话的东西。	高尔基
凡在小事上对真理持轻率态度的人，在大事上也是不足信的。	爱因斯坦
人生有两个悲剧，一个是万念俱灰，另一个是踌躇满志。	萧伯纳
世上最可贵的是时间，世上最奢靡的是挥霍时光。	莫扎特
说到底，爱情就是一个人的自我价值在别人身上的反映。	爱默生
建筑在别人痛苦上的幸福不是真正的幸福。	阿·巴巴耶娃
君子在下位则多谤，在上位则多誉；小人在下位则多誉，在上位则多谤。	柳宗元
我扑在书上，就像饥饿的人扑在面包上。	高尔基
如果胃囊空空，谁也难以成为爱国志士。	布拉恩
没有上天的云梯也就算了吧，但不能没有拥抱月亮的手臂。	刘墉
一个人的活动，如果不是被高尚的思所鼓舞，那它是无益的、渺小的。	车尔尼雪夫斯基
为祖国倒下的人，他的死是光荣的。	荷马
好脾气是一个人在社交中所能穿着的最佳服饰。	都德
苦难是人生的老师。	尔扎克
志之难也，不再胜人，在自胜。	荀况
生命不可能有两次，但是许多人连一次也不善于度过。	吕凯特
辛勤的蜜蜂永没有时间悲哀。	布莱克
一个从不怀疑生活方向和目标的人，绝对不会绝望。	莫里亚克
人生的价值，即以其人对于当代所做的工作为尺度。	徐玮
不傲才以骄人，不以宠而作威。	诸葛亮
胜利属于最坚忍的人。	拿破仑
书籍把我们引入最美好的社会，使我们认识各个时代的伟大智者。	史美尔斯
当你的希望一个个落空，你也要坚定，要沉着！	朗费罗
要从容地着手去做一件事，但一旦开始，就要坚持到底。	比阿斯
谁和我一样用功，谁就会和我一样成功。	莫扎特
谁和我一样用功，谁就会和我一样成功。	莫扎特
只要持续地努力，不懈地奋斗，就没有征服不了的东西。	塞内加
我们唯一不会改正的缺点是软弱。	拉罗什福科
 志是独一无二的个体所拥有的、以纠正自己的自动性的力量。	劳伦斯
自己不能胜任的事情，切莫轻易答应别人，一旦答应了别人，就必须实践自己的诺言。	华盛顿
能忍受自己的人才能享受空闲。	葛瑞伯
勇敢和必胜的信念常使战斗得以胜利结束。	恩格斯
人家帮我，永志不忘；我帮人家，莫记心头。	华罗庚
真理是时间的孩子，不是权威的孩子。	布莱希特：《伽俐略传》
成功＝艰苦的劳动＋正确的方法＋少说空话。	爱因斯坦
生活的道路一旦选定，就要勇敢地走到底，决不回头。	左拉
生活的道路一旦选定，就要勇敢地走到底，决不回头。	左拉
恨不抗日死，留作今日羞。国破尚如此，我何惜此头。	吉鸿昌
志不立，天下无可成之事。	王阳明
坚持意志伟大的事业需要始终不渝的精神。	伏尔泰
真理之所以为真理，只是因为它是和谬误以及虚伪对立的。	《车尔尼雪夫斯基论文学》
路是脚踏出来的，历史是人写出来的。人的每一步行动都在书写自己的历史。	吉鸿昌
懒人无法享受休息之乐。	拉布克
空谈之类，是谈不久，也谈不出什麽来的，它始终被事实的镜子照出原形，拖出尾巴而去。	鲁迅
意志坚强的人能把世界放在手中像泥块一样任意揉捏。	歌德
节制使快乐增加并使享受加强。	德谟克利特
书不仅是生活，而且是现在、过去和未来文化生活的源泉。	库法耶夫
奢侈是舒适的，否则就不是奢侈。	CocoChanel
命运压不垮一个人，只会使人坚强起来。	伯尔
沉沉的黑夜都是白天的前奏。	郭小川
